device,size,N,mean_ms,p50_ms,p95_ms,gflops,h2d_ms,compute_ms,d2h_ms
cpu,S,1024,5.081525999976293,5.196799999794166,5.5538800005706435,422.60605338042524,0,5.081525999976293,0
gpu,S,1024,4.769024531430696,3.2813799660980294,13.00291128230965,450.2983018533059,2.037518999977692,1.6383235314488411,1.0931820000041625
cpu,M,4096,307.41637699999046,304.6465000002172,351.9889149998562,447.0775266211802,0,307.41637699999046,0
gpu,M,4096,52.320079487252734,51.2097835372042,61.06225176990593,2626.8873216350066,20.33644500000264,18.651370487213136,13.332264000036957
cpu,L,8192,2076.2530159999915,2082.792999999583,2313.124315000232,529.5653368365797,0,2076.2530159999915,0
gpu,L,8192,337.902714500753,334.000042553751,367.07005212907677,3253.929550108867,97.62961500004167,168.2751445007324,71.9979549999789
cpu,S,1024,4.660107999989123,4.949900000156049,5.3138850003961124,460.8227208478886,0,4.660107999989123,0
gpu,S,1024,3.0309647615862922,2.394750002917135,7.457443918036733,708.5148845069674,1.4002500000060536,0.8055337616801261,0.8251809999001125
cpu,S,1024,4.463385000008202,4.8543000002609915,5.240304999369982,481.1334106280444,0,4.463385000008202,0
gpu,S,1024,3.679195997071365,2.396276004426909,10.633936304532833,583.6828616114484,1.5788440000414994,1.21033599704504,0.8900159999848256
cpu,M,4096,276.1603730000297,271.9075000004523,328.8107949997084,497.67804112860614,0,276.1603730000297,0
gpu,M,4096,48.59870415262944,48.40296816699629,53.05582323529888,2828.037411046151,18.35001199994622,17.93059715270996,12.318094999973255
cpu,L,8192,1938.8983810000352,1918.483450000167,2134.9395849999382,567.0805848055323,0,1938.8983810000352,0
gpu,L,8192,292.36991245267023,289.6299959601929,309.5222062698511,3760.6866539455987,74.47635500005163,159.13742645263673,58.756130999981906
cpu,S,1024,11.25657400021737,11.376049998943927,13.064964997101924,190.77595438528022,0,11.25657400021737,0,,nan,nan
gpu,S,1024,6.836849567209137,6.77812409796752,7.63671685916488,314.1042708179144,3.087162998999702,2.1469225680828092,1.6027640001266263,,nan,nan
cpu,M,4096,624.7979859998304,619.6006999962265,673.2688800006144,219.97342589391337,0,624.7979859998304,0,,nan,nan
gpu,M,4096,143.64955602972594,143.42920902580954,161.8757825373672,956.7655986598331,44.56336800023564,72.99814002990723,26.08804799958307,,nan,nan
cpu,S,1024,10.805466000019806,11.014000003342517,11.836015001972555,198.7404937460415,0,10.805466000019806,0,45,0.4862459700008912,0.4862459700008912
gpu,S,1024,7.073579716985114,6.625951990747126,9.120495578640838,303.59220280552603,3.1194089998462005,2.340758717060089,1.6134120000788243,80,0.5658863773588091,0.18726069736480716
cpu,M,4096,604.3914229998336,602.6006499996583,662.6739500043186,227.40056897206802,0,604.3914229998336,0,45,27.19761403499251,27.19761403499251
gpu,M,4096,145.9679559224163,146.1923569945211,160.02841706487814,941.5693506391939,44.28055399999721,76.22911392211914,25.458288000299945,80,11.677436473793305,6.098329113769532
cpu,L,8192,3273.342835999865,3303.9811000016925,3591.0119049942296,335.89870748755425,0,3273.342835999865,0,45,147.30042761999394,147.30042761999394
gpu,L,8192,274.37974912863166,273.5366411519353,284.62252534905565,4007.2623116968416,56.08942599974398,160.74730712890624,57.543015999981435,80,21.950379930290534,12.8597845703125
